Loại nhà,Vị trí,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Trình trạng pháp lý,Nội thất,Giá,Address
Nhà hẻm,Quận Tân Bình,59,8,8,Tây,Tây,5,6,6,Have certificate,Full,9.2,"Hẻm 730, Đường Lạc Long Quân, Phường 9, Quận Tân Bình, Hồ Chí Minh"
Chung cư,Quận 12,21.7,3.1,4,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Basic,1.78,"Đường An Phú Đông 25, Phường An Phú Đông, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),86.4,4,14,Đông - Bắc,Đông - Bắc,1,1,1,Have certificate,Basic,7.4,"Đường 10, Phường Phước Bình, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,60,8,10,Đông,Đông,3,4,4,Have certificate,Basic,9.9,"138, Phố Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),65,4.5,2.5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.99,"Đường Quang Trung, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 10,31,6.2,6,Tây - Bắc,Tây - Bắc,3,4,3,Have certificate,Full,6.8,"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,78,5,6,Tây - Bắc,Tây - Bắc,2,2,3,Have certificate,Full,5,"Đường Thạnh Lộc 29, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),61,4.2,6,Tây - Nam,Tây - Nam,4,4,4,Have certificate,Full,6.1,"Đường Số 10, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 12,35,3.5,4,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Basic,2.48,"Đường Hiệp Thành 26, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,67,4,5,Bắc,Bắc,1,1,1,Have certificate,Basic,3.75,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,60,7,5,Đông,Đông,5,4,4,Have certificate,Full,9.1,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,66,4,6,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Basic,4.15,"Đường Thạnh Xuân 21, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,60,5,5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.85,"Đường Thạnh Lộc 37, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,54,4,3,Tây - Nam,Tây - Nam,4,3,4,Have certificate,Full,6.35,"Đường Đỗ Thúc Tịnh, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận 3,14,3.5,15,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,4.6,"Đường Nguyễn Phúc Nguyên, Phường 10, Quận 3, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,32,4,3,Nam,Nam,3,3,3,Have certificate,Full,5.75,"Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Huyện Hóc Môn,113,5,6,Đông - Bắc,Đông - Bắc,2,4,2,Have certificate,Full,5.9,"Đường Nguyễn Ảnh Thủ, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),99.8,5,7,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Full,7.8,"Đường Linh Đông, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Tân Bình,63,4.2,5,Đông - Nam,Đông - Nam,4,5,7,Have certificate,Full,8.2,"Đường Trần Thánh Tông, Phường 15, Quận Tân Bình, Hồ Chí Minh"
Nhà mặt tiền,Huyện Hóc Môn,74,8,6,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,4.8,"Đường 8, Xã Tân Thới Nhì, Huyện Hóc Môn, Hồ Chí Minh"
Biệt thự,Huyện Bình Chánh,189,9,14,Đông,Đông,2,3,2,Have certificate,Basic,10,"Dự án Vĩnh Lộc A, Đường Hương lộ  80, Xã Vĩnh Lộc A, Huyện Bình Chánh, Hồ Chí Minh"
Biệt thự,Quận 8,151,7.5,12,Đông - Nam,Đông - Nam,2,2,3,Have certificate,Basic,5.2,"Green River quận 8, 2225, Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh"
Nhà mặt tiền,Quận Phú Nhuận,85.4,4.9,5,Đông - Nam,Đông - Nam,3,6,7,Have certificate,Basic,9.4,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,36,6,5,Đông - Nam,Đông - Nam,4,4,3,Have certificate,Full,5.85,"Đường Số 14, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,52,5,7,Tây - Bắc,Tây - Bắc,4,4,3,Have certificate,Full,6.5,"Hẻm 2177, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,40,4,5,Bắc,Bắc,2,2,2,Have certificate,Full,3.6,"6/27, Đường 14A, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,55,4,6,Đông - Nam,Đông - Nam,4,4,4,Have certificate,Basic,6.3,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận 12,50.1,4.02,20,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Basic,7,"Đường Song Hành, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,51,5.2,6,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,5.2,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,47.1,4.3,2,Tây,Đông,2,3,2,Have certificate,Basic,5.4,"Hẻm 602/97, Đường Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận 7,47.95,4,4,Nam,Nam,5,5,5,Have certificate,Full,7.7,"791, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận 12,60,4,3,Tây - Bắc,Tây - Bắc,1,1,1,Have certificate,Full,2.85,"Đường Thạnh Xuân 43, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,57,5,7,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Basic,3.8,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,56,4,3,Đông,Tây,2,2,2,Have certificate,Full,4.2,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,52,5,12,Đông - Nam,Đông - Nam,2,3,3,Have certificate,Full,7.9,"31/35/15, Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Hồ Chí Minh"
Biệt thự,Quận 7,102,6,5,Đông - Bắc,Đông - Bắc,1,2,2,Have certificate,Basic,6.8,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,64,4,4,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Full,3.86,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,48,3,3,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.3,"Đường Tân Thới Nhất 6, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,6,2,Nam,Nam,2,2,2,Have certificate,Basic,3.6,"Đường Số 10, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 6,32,3.2,12,Bắc,Bắc,2,2,2,Have certificate,Basic,8.6,"Đường Lê Quang Sung, Phường 2, Quận 6, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,12,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Full,8,"Dự án River Park, Đường Liên Phường, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,63,5.2,6,Đông,Đông,2,3,2,Have certificate,Full,2.9,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,67,5,3.5,Tây,Tây,2,4,2,Have certificate,Basic,4,"Đường Trần Thị Cờ, Phường Thới An, Quận 12, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,74,4,10,Bắc,Tây - Bắc,3,4,4,Have certificate,Full,6.05,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Biệt thự,Huyện Bình Chánh,100,5,12,Tây - Bắc,Tây - Bắc,4,4,5,Have certificate,Full,10,"Dự án 6B Intresco, Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,60,5,5,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,6.4,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),83,4,6,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Basic,4.3,"Đường Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 3,30,3.7,6,Tây - Nam,Tây - Nam,2,1,2,Have certificate,Full,5.6,"11A, Đường Nguyễn Hiền, Phường 4, Quận 3, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,74,8,8,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,6.3,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,68,5.3,8,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,7.6,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận Bình Tân,35,4,4,Đông,Đông,1,2,2,Have certificate,Full,2,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,80,4,12,Bắc,Bắc,5,5,7,Have certificate,Full,8.7,"Số 1E, Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
Biệt thự,Quận 12,141,9,3.5,Đông - Bắc,Đông - Bắc,1,4,3,Have certificate,Basic,6.3,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,18.3,4.9,3,Nam,Nam,2,1,2,Have certificate,Basic,2.89,"Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),82.7,5,12,Đông - Bắc,Đông - Bắc,3,4,5,Have certificate,Basic,8.6,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Huyện Bình Chánh,75,5,8,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Full,2.25,"Đường 1, Xã Huyện Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh"
Chung cư,Quận 1,28,4.6,2,Tây - Nam,Tây - Bắc,3,2,3,Have certificate,Basic,6.5,"Hẻm 124, Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"
Nhà hẻm,Quận 12,40,4,6,Đông - Nam,Đông - Nam,2,2,1,Have certificate,Full,2.45,"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh"
Chung cư,Quận 6,30.4,3.5,12,Nam,Nam,3,5,3,Have certificate,Full,6.2,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,77,4.06,6,Đông,Đông,3,3,4,Have certificate,Full,10,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh."
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,5,20,Tây - Bắc,Tây - Bắc,2,4,4,Have certificate,Basic,8.3,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 7,90,5,6,Đông - Bắc,Tây - Nam,4,4,5,Have certificate,Full,8.29,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Biệt thự,Quận Tân Phú,124.5,9,30,Nam,Nam,2,4,3,Have certificate,Basic,7.5,"Dự án Carillon 7, Quận Tân Phú, Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),108,6,12,Bắc,Bắc,3,5,4,Have certificate,Full,9.6,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 8,48,3.5,5,Đông - Bắc,Đông - Bắc,2,4,3,Have certificate,Full,4.8,"Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,83.6,5,6,Tây - Nam,Tây - Nam,4,4,5,Have certificate,Full,8.6,"2581, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,28,3.8,3,Tây - Nam,Tây - Nam,4,4,3,Have certificate,Full,4.25,"Đường Trần Bình Trọng, Phường 5, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,66,4,4,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,6.15,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),71,45,6,Nam,Nam,5,4,4,Have certificate,Basic,6.3,"Đường Số 15, Phường Bình Trưng Đông, Quận 2 (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận Bình Tân,36,5,5,Tây,Tây,3,3,3,Have certificate,Basic,2.35,"Đường Lê Đình Cẩn, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh"
Nhà mặt tiền,Quận Tân Phú,70,4.2,6,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Basic,7.35,"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,80,7,7,Tây - Nam,Tây - Nam,4,4,5,Have certificate,Full,6.5,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,48,5,5,Tây,Tây,4,5,4,Have certificate,Basic,5.5,"405/, Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh"
Chung cư,Quận Bình Tân,35,4,4,Tây,Tây,2,2,2,Have certificate,Full,2,"Đường Nguyễn Văn Cự, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,36,8.3,5,Tây,Tây,3,3,3,Have certificate,Full,5.99,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),50,3.47,5,Đông - Bắc,Đông - Bắc,3,4,3,Have certificate,Basic,3.16,"78C/16, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,56,6,7,Tây,Bắc,4,4,5,Have certificate,Full,8.95,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh"
Biệt thự,Quận 7,108,7,3,Đông - Bắc,Đông - Bắc,1,2,2,Have certificate,Full,5.5,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận 7,50,4.1,5,Đông - Nam,Đông - Nam,5,4,5,Have certificate,Full,6.6,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận 12,40,4,7,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,3.68,"Đường Thới An 09, Phường Thới An, Quận 12, Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,26.4,3.3,4,Đông,Đông,3,2,2,Have certificate,Full,4.3,"Hẻm 148, Nguyễn Lâm, Phường 3, Quận Bình Thạnh, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),91.3,6,6,Đông - Bắc,Đông - Bắc,2,2,2,Have certificate,Full,9,"Đường 17, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,52.8,3.5,3.5,Đông,Đông,2,3,3,Have certificate,Full,3.79,"1716, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,75.5,3.6,5,Nam,Nam,5,5,7,Have certificate,Full,8.8,"Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,60,4,5.5,Đông,Đông,3,4,4,Have certificate,Basic,7.2,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,42.9,3.3,5,Nam,Nam,2,2,2,Have certificate,Full,3.65,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận 8,95,10,10,Đông - Bắc,Đông - Bắc,3,4,5,Have certificate,Basic,8.25,"Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh"
Nhà mặt tiền,Huyện Nhà Bè,70,5,3,Đông - Bắc,Đông - Bắc,2,3,3,Have certificate,Basic,4.45,"Hẻm 2506, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Nhà hẻm,Quận 8,60.75,3.7,20,Tây - Bắc,Tây - Bắc,2,2,1,Sale contract,Full,2.55,"Dream Home Palace, 1436, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh"
Chung cư,Quận 10,20.8,2.6,3,Nam,Nam,3,2,3,Have certificate,Full,3.3,"Hẻm 160/, Đường Nguyễn Chí Thanh, Phường 3, Quận 10, Hồ Chí Minh"
Biệt thự,Quận Tân Phú,102,4.2,12,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Basic,9.3,"Đường D10, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận Gò Vấp,58,4,6,Tây - Bắc,Tây - Bắc,4,4,6,Have certificate,Full,7.49,"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Huyện Bình Chánh,75,5,4,Bắc,Bắc,1,2,1,Sale contract,Basic,1.41,"Đường Ngô Miễn Thiệu, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh"
Nhà hẻm,Quận Bình Thạnh,49,3.3,3,Đông - Nam,Đông - Nam,2,2,3,Have certificate,Full,5,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,60,4,8,Tây,Tây,5,5,6,Have certificate,Full,6.1,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,54,3.8,4,Tây,Tây,2,2,2,Have certificate,Full,5.65,"76/10/24 Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận Gò Vấp,23,3.74,4,Tây - Bắc,Tây - Bắc,2,2,1,Have certificate,Full,2.3,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh"
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),90,7.5,20,Đông - Bắc,Đông - Bắc,3,4,3,Have certificate,Full,8.5,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 11,21,5,8,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Basic,3.8,"Đường Lê Đại Hành, Phường 11, Quận 11, Hồ Chí Minh"
Nhà mặt tiền,Quận Bình Tân,80,51,3,Tây,Tây,2,3,2,Have certificate,Full,4.58,"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh"
Chung cư,Quận 10,29,3,4,Đông - Nam,Đông - Nam,5,5,4,Have certificate,Full,6.2,"Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh"
Nhà mặt tiền,Quận 6,64.4,3.5,5,Bắc,Bắc,2,3,2,Have certificate,Basic,8.6,"Đường Mai Xuân Thưởng, Phường 6, Quận 6, Hồ Chí Minh"
Nhà mặt tiền,Quận 7,64,5,6,Tây - Bắc,Tây,3,4,5,Have certificate,Full,7.5,"44/41, Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
Chung cư,Quận 1,22,3,3,Đông - Bắc,Đông - Bắc,2,2,3,Have certificate,Basic,4.5,"Đường Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Hồ Chí Minh"
Chung cư,Quận Bình Thạnh,32,3.11,5,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Basic,3.8,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh"
Chung cư,Quận 10,32,5,4,Tây - Nam,Tây - Nam,2,3,3,Have certificate,Full,5.18,"Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,60,4,8,Tây,Tây,5,5,6,Have certificate,Full,6,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh"
Nhà hẻm,Quận 7,41.2,6,3,Tây - Bắc,Tây - Bắc,2,3,2,Have certificate,Full,6.35,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh"
Nhà hẻm,Quận 12,53.4,6,7,Nam,Nam,4,4,4,Have certificate,Full,4.69,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
Nhà hẻm,Huyện Nhà Bè,50,4,6,Đông - Bắc,Đông - Bắc,3,4,5,Have certificate,Full,5.5,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh"
Chung cư,Quận Tân Phú,37,4.1,2,Nam,Nam,2,2,2,Have certificate,Full,3.6,"Đường Phú Thọ Hòa, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh"
Nhà mặt tiền,Quận 11,83.2,4.4,6,Tây - Bắc,Tây - Bắc,5,9,9,Have certificate,Full,9.9,"Đường Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh"
Nhà mặt tiền,Quận Gò Vấp,78.2,4.6,4,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,5.65,"Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),63,4,5,Đông - Bắc,Đông - Bắc,3,2,2,Have certificate,Full,6.2,"Đường 3, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà hẻm,Quận 8,40.4,4,4,Đông - Nam,Đông - Nam,3,2,3,Have certificate,Full,6.2,"Đường  Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh"
Nhà hẻm,Huyện Hóc Môn,48,4,10,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.95,"Đường Nguyễn Thị Ngâu, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh"
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),64,4,6,Tây - Nam,Tây - Nam,3,4,4,Have certificate,Full,7.6,"Đường 8, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Biệt thự,Quận 12,110,7,7,Nam,Nam,1,4,4,Have certificate,Full,5.45,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận 12,47.6,4,7,Tây - Nam,Tây - Nam,3,4,4,Have certificate,Full,4.49,"2/, Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Tân Phú,56,4,5,Tây,Tây,4,5,4,Have certificate,Full,6.5,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh"
Chung cư,Quận Tân Phú,16,4,2.2,Đông,Đông,2,2,2,Have certificate,Full,2.4,"Đường Độc Lập, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh"
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),51,4.6,7,Đông - Nam,Đông - Nam,4,4,5,Have certificate,Basic,6.7,"Đường Đinh Thị Thi, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh"
Nhà mặt tiền,Quận 8,64,4,16,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Full,10,"783A, Đường Cao Lỗ, Phường 14, Quận 8, Hồ Chí Minh"
Biệt thự,Quận 9 (TP. Thủ Đức),100,20,12,Bắc,Bắc,3,4,5,Have certificate,Basic,6.5,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9 (TP. Thủ Đức), Hồ Chí Minh"
Chung cư,Quận 1,30,5,3,Tây - Nam,Tây - Nam,4,4,4,Have certificate,Full,6.1,"Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"
Nhà mặt tiền,Quận 12,80,5,8,Đông - Nam,Đông - Nam,3,3,4,Have certificate,Full,8.8,"Đường Tân Thới Nhất 17, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Nhà hẻm,Quận Bình Tân,58,4,7,Nam,Nam,5,5,6,Have certificate,Full,6.8,"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh"
