Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá
Chung cư,Huyện Nhà Bè,72,3,5,1.46
Biệt thự,Quận 3,16,6,4,7.25
Chung cư,Huyện Cần Giờ,128,4,3,0.63
Biệt thự,Quận 9 (TP. Thủ Đức),416,2,1,16.57
Chung cư,Quận Thủ Đức (TP. Thủ Đức),385,8,2,7.78
Biệt thự,Quận 8,146,6,5,25.11
Nhà mặt tiền,Quận 8,304,6,1,11.34
Nhà hẻm,Quận 5,383,3,6,42.71
Nhà hẻm,Quận 9 (TP. Thủ Đức),363,3,2,5.53
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),356,8,4,13.14
Biệt thự,Quận 8,450,7,5,79.25
Biệt thự,Quận 9 (TP. Thủ Đức),198,7,5,20.19
Nhà mặt tiền,Huyện Cần Giờ,464,1,6,5.36
Chung cư,Quận 8,69,8,6,2.16
Nhà hẻm,Quận 10,302,8,2,25.4
Nhà mặt tiền,Huyện Bình Chánh,168,6,3,2.64
Nhà mặt tiền,Quận 11,428,9,6,69.83
Chung cư,Quận Tân Bình,193,1,1,3.09
Nhà hẻm,Huyện Hóc Môn,230,4,6,2.81
Nhà hẻm,Quận 12,284,8,6,8.51
Chung cư,Quận 5,109,5,5,9.14
Biệt thự,Huyện Cần Giờ,451,7,1,7.44
Nhà mặt tiền,Quận 10,74,6,6,19.16
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),47,4,5,5.07
Biệt thự,Huyện Củ Chi,189,2,2,1.58
Biệt thự,Huyện Hóc Môn,514,5,2,18.2
Nhà hẻm,Quận 2 (TP. Thủ Đức),347,1,4,12.19
Chung cư,Huyện Nhà Bè,442,4,6,9.27
Biệt thự,Huyện Cần Giờ,32,1,1,0.33
Biệt thự,Quận 9 (TP. Thủ Đức),89,5,6,10.18
Nhà mặt tiền,Huyện Nhà Bè,207,3,6,11.1
Nhà mặt tiền,Quận 12,56,3,3,2.18
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),429,5,6,23.53
Biệt thự,Huyện Nhà Bè,401,5,5,46.71
Biệt thự,Quận Tân Phú,202,9,3,36.01
Nhà mặt tiền,Quận 8,331,5,2,18.34
Biệt thự,Quận Tân Bình,203,9,6,60.68
Biệt thự,Quận 4,158,4,1,7.37
Chung cư,Quận 10,295,4,6,26.55
Nhà mặt tiền,Huyện Hóc Môn,444,6,5,10.3
Nhà hẻm,Huyện Nhà Bè,265,7,6,8.03
Biệt thự,Quận 8,158,8,1,13.84
Nhà hẻm,Huyện Củ Chi,52,5,6,0.21
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),399,6,6,54.48
Nhà hẻm,Quận 3,36,2,1,1.72
Chung cư,Quận Bình Thạnh,316,5,6,16.48
Biệt thự,Huyện Bình Chánh,478,3,3,12.87
Nhà hẻm,Quận 7,445,8,2,14.2
Chung cư,Quận 9 (TP. Thủ Đức),384,3,1,3.21
Chung cư,Huyện Hóc Môn,206,7,5,2.24
Biệt thự,Quận 1,263,9,5,226.03
Biệt thự,Quận 5,19,3,5,8.59
Biệt thự,Quận Phú Nhuận,162,1,6,33.44
Nhà mặt tiền,Quận 5,395,9,1,53.02
Nhà mặt tiền,Huyện Củ Chi,396,1,4,1.66
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),505,5,4,32.06
Biệt thự,Quận Gò Vấp,14,2,4,1.99
Nhà hẻm,Quận 3,356,1,2,19
Nhà hẻm,Huyện Cần Giờ,293,6,2,1.68
Nhà hẻm,Quận 7,315,4,1,6.17
Nhà hẻm,Quận 6,278,7,1,6.62
Nhà hẻm,Quận 11,157,7,4,10.85
Nhà hẻm,Quận 2 (TP. Thủ Đức),222,7,4,12.51
Biệt thự,Huyện Cần Giờ,275,4,1,4.47
Biệt thự,Quận 1,40,4,2,20.25
Chung cư,Quận Phú Nhuận,343,7,6,23.45
Nhà mặt tiền,Huyện Cần Giờ,533,5,6,9.42
Biệt thự,Huyện Bình Chánh,113,8,3,3.95
Nhà hẻm,Quận Bình Thạnh,101,1,5,4.03
Biệt thự,Huyện Bình Chánh,176,2,6,5.29
Nhà hẻm,Quận 2 (TP. Thủ Đức),513,5,3,24.64
Biệt thự,Huyện Cần Giờ,433,7,3,14.21
Chung cư,Quận 7,329,8,1,6.04
Chung cư,Quận 4,65,1,4,0.77
Biệt thự,Huyện Bình Chánh,111,3,3,3.26
Biệt thự,Huyện Củ Chi,332,7,5,4.99
Biệt thự,Quận 5,441,2,1,84.29
Nhà hẻm,Quận 2 (TP. Thủ Đức),239,3,4,11.45
Nhà hẻm,Quận Tân Bình,475,1,1,9.88
Biệt thự,Quận 8,290,3,2,27.97
Nhà mặt tiền,Huyện Cần Giờ,103,9,5,1.78
Biệt thự,Quận 3,536,9,4,286.62
Nhà mặt tiền,Quận 12,513,2,3,17.58
Biệt thự,Quận 2 (TP. Thủ Đức),242,9,6,69.28
Chung cư,Quận 3,224,2,4,16.25
Chung cư,Huyện Nhà Bè,505,1,5,6.67
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),270,2,2,19
Biệt thự,Quận 3,508,6,2,171.6
Biệt thự,Huyện Hóc Môn,536,4,6,26.11
Nhà mặt tiền,Quận 11,94,9,2,10.53
Nhà mặt tiền,Quận Tân Phú,489,3,3,32.35
Nhà mặt tiền,Huyện Củ Chi,321,3,6,2.38
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),155,2,2,11.26
Biệt thự,Quận Bình Thạnh,520,8,4,150.49
Nhà mặt tiền,Quận Gò Vấp,173,6,1,8.72
Nhà hẻm,Quận 5,470,4,3,46.42
Chung cư,Quận 9 (TP. Thủ Đức),11,6,4,0.2
Nhà mặt tiền,Huyện Cần Giờ,422,6,4,7.2
Nhà hẻm,Quận Bình Thạnh,480,1,3,15.92
Chung cư,Quận 4,404,7,4,8.43
Biệt thự,Quận 12,366,3,3,27.6
Nhà hẻm,Quận 8,43,3,2,1.05
Biệt thự,Huyện Bình Chánh,322,9,1,6.47
Nhà hẻm,Quận Gò Vấp,482,4,5,21.41
Nhà hẻm,Quận Bình Thạnh,211,9,4,12.87
Chung cư,Quận Bình Tân,414,6,2,8.87
Nhà mặt tiền,Huyện Củ Chi,117,9,4,0.89
Nhà mặt tiền,Quận Tân Phú,338,3,2,19.02
Nhà mặt tiền,Quận 5,182,3,1,18.19
Chung cư,Huyện Củ Chi,415,6,4,1.1
Nhà mặt tiền,Quận 1,232,1,6,60.21
Nhà mặt tiền,Quận 7,47,7,2,3.12
Chung cư,Huyện Nhà Bè,303,5,1,3.27
Chung cư,Quận Bình Thạnh,91,7,2,3.16
Nhà hẻm,Huyện Hóc Môn,504,6,5,6.67
Biệt thự,Quận Bình Thạnh,142,5,6,39.47
Biệt thự,Quận 5,292,7,3,137.68
Nhà mặt tiền,Quận 4,372,2,2,10.58
Biệt thự,Quận 12,368,3,5,33.29
Chung cư,Quận 10,497,2,6,33.93
Chung cư,Quận 5,162,5,6,16.53
Biệt thự,Quận 11,501,1,3,73.5
Nhà hẻm,Quận 2 (TP. Thủ Đức),321,4,5,16.14
Nhà mặt tiền,Huyện Bình Chánh,272,4,6,4.84
Biệt thự,Quận 11,405,3,6,96.38
Nhà mặt tiền,Huyện Bình Chánh,22,6,2,0.29
Chung cư,Huyện Cần Giờ,109,5,3,0.61
Biệt thự,Huyện Nhà Bè,190,2,2,11.78
Nhà mặt tiền,Quận Tân Phú,431,7,6,44.13
Nhà hẻm,Quận 3,513,9,2,49.71
Nhà hẻm,Quận Gò Vấp,174,5,6,9.52
Biệt thự,Quận Bình Thạnh,429,7,3,96.36
Biệt thự,Quận Bình Thạnh,316,4,4,74.57
Chung cư,Quận 11,487,9,1,14.65
Nhà hẻm,Quận 1,186,7,5,40.23
Biệt thự,Quận Bình Tân,460,8,1,33.36
Chung cư,Quận Phú Nhuận,260,9,3,15.14
Nhà mặt tiền,Quận 11,108,8,2,11.84
Biệt thự,Quận 2 (TP. Thủ Đức),512,9,4,120.33
Biệt thự,Quận 4,205,8,5,24.18
Chung cư,Quận 6,387,8,3,13.41
Nhà mặt tiền,Quận 1,206,5,5,81.22
Chung cư,Huyện Cần Giờ,98,9,4,0.65
Nhà mặt tiền,Quận 1,172,5,6,70.2
Biệt thự,Quận Bình Tân,242,1,2,15.68
Nhà mặt tiền,Quận Phú Nhuận,367,7,3,51.71
Chung cư,Quận 8,86,1,5,1.64
Nhà mặt tiền,Huyện Củ Chi,160,8,2,0.93
Biệt thự,Quận 9 (TP. Thủ Đức),454,8,4,43.51
Chung cư,Huyện Củ Chi,339,4,3,0.79
Chung cư,Quận 7,463,1,5,8.87
Nhà mặt tiền,Huyện Nhà Bè,15,2,1,0.31
Nhà hẻm,Quận Tân Phú,85,1,3,2.05
Biệt thự,Quận 11,264,6,6,75.85
Biệt thự,Huyện Hóc Môn,319,2,3,10.15
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),227,3,2,7.14
Nhà mặt tiền,Quận 10,88,1,2,8.59
Chung cư,Quận 7,264,2,5,6.71
Chung cư,Quận 8,100,6,3,2.65
Nhà hẻm,Quận 1,267,1,5,31.23
Nhà hẻm,Quận 12,38,1,2,0.45
Biệt thự,Quận Gò Vấp,352,4,2,44.65
Nhà hẻm,Quận Tân Bình,173,4,2,8.05
Chung cư,Quận Gò Vấp,312,1,3,5.88
Nhà hẻm,Quận 10,519,9,6,69.98
Nhà mặt tiền,Quận 3,118,9,4,30.53
Chung cư,Quận 6,372,2,6,11.53
Nhà mặt tiền,Quận Tân Bình,468,2,4,44.81
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),421,5,5,30.8
Biệt thự,Quận Phú Nhuận,496,8,4,159.78
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),91,5,5,12.72
Nhà hẻm,Quận Phú Nhuận,490,3,2,26.56
Nhà hẻm,Quận 9 (TP. Thủ Đức),111,2,4,2.15
Nhà mặt tiền,Huyện Bình Chánh,90,8,3,1.68
Nhà hẻm,Quận 10,231,1,4,14.51
Chung cư,Huyện Cần Giờ,477,1,3,1.6
Nhà hẻm,Quận 4,435,3,1,5.05
Nhà hẻm,Quận Bình Tân,81,4,3,2.26
Nhà mặt tiền,Quận 7,129,2,5,8.42
Nhà hẻm,Quận 9 (TP. Thủ Đức),361,2,3,6.66
Nhà hẻm,Huyện Bình Chánh,446,3,2,2.67
Chung cư,Quận 10,91,5,1,3.91
Biệt thự,Quận 10,164,8,1,39.23
Chung cư,Quận 1,328,2,4,34.72
Chung cư,Quận 8,44,4,6,1.3
Chung cư,Quận 4,136,2,6,2.16
Chung cư,Quận Tân Phú,444,6,2,10.58
Chung cư,Huyện Bình Chánh,301,1,3,1.19
Chung cư,Quận Bình Thạnh,494,4,5,23.44
Chung cư,Quận 9 (TP. Thủ Đức),166,2,1,1.33
Nhà mặt tiền,Quận 6,116,2,6,8.66
Nhà mặt tiền,Huyện Cần Giờ,480,4,3,6.34
Nhà mặt tiền,Quận 8,291,8,2,18.37
Nhà hẻm,Quận 9 (TP. Thủ Đức),488,9,6,14.46
Nhà mặt tiền,Huyện Hóc Môn,402,3,5,8.47
Chung cư,Huyện Củ Chi,162,7,2,0.33
Nhà mặt tiền,Quận 3,440,1,6,66.99
Biệt thự,Quận 3,454,8,6,257.39
Nhà hẻm,Quận Bình Tân,58,8,6,2.58
Biệt thự,Quận 5,390,5,4,194.07
Nhà hẻm,Quận 2 (TP. Thủ Đức),75,5,3,3.6
Nhà mặt tiền,Quận 7,232,3,5,15.6
Biệt thự,Quận 7,320,9,2,40.61
Chung cư,Quận 11,236,6,6,13.22
Nhà hẻm,Quận 7,80,6,6,3.76
Biệt thự,Quận 9 (TP. Thủ Đức),273,7,6,34.25
Chung cư,Huyện Bình Chánh,310,1,5,1.47
Biệt thự,Huyện Củ Chi,538,3,4,6.18
Nhà hẻm,Quận 5,419,9,5,62.13
Chung cư,Quận 5,260,1,1,7.45
Biệt thự,Quận 8,454,3,3,50.17
Chung cư,Quận Thủ Đức (TP. Thủ Đức),473,5,3,10.35
Chung cư,Quận 12,63,4,3,0.94
Nhà mặt tiền,Quận Bình Thạnh,488,1,5,39.3
Chung cư,Huyện Bình Chánh,452,2,1,1.27
Biệt thự,Quận 6,149,1,2,12.66
Nhà hẻm,Quận 7,83,2,4,2.48
Nhà hẻm,Quận Tân Bình,48,2,5,2.41
Nhà mặt tiền,Quận 3,27,1,6,4.16
Nhà mặt tiền,Huyện Nhà Bè,35,3,3,1.41
Biệt thự,Huyện Hóc Môn,375,7,5,18.95
Chung cư,Huyện Cần Giờ,407,6,1,1.39
Biệt thự,Quận 11,165,8,1,22.15
Chung cư,Huyện Bình Chánh,366,6,1,1.43
Chung cư,Huyện Bình Chánh,245,3,5,1.57
Chung cư,Quận 11,331,8,5,19.37
Nhà mặt tiền,Quận 3,205,6,6,50.18
Biệt thự,Quận Bình Tân,40,5,2,4.19
Chung cư,Huyện Bình Chánh,534,6,1,2
Chung cư,Quận 4,43,2,3,0.59
Nhà mặt tiền,Quận Tân Phú,64,5,2,4.35
Chung cư,Quận Phú Nhuận,533,4,3,26.57
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),473,1,5,10.32
Biệt thự,Quận 3,474,7,6,268.78
Chung cư,Quận 6,130,7,4,5
Nhà mặt tiền,Quận 7,138,8,2,9.45
Nhà hẻm,Quận 5,433,9,5,55
Biệt thự,Quận 11,323,5,5,81.07
Nhà mặt tiền,Huyện Bình Chánh,448,3,6,8.14
Biệt thự,Huyện Hóc Môn,327,4,2,10.74
Nhà hẻm,Huyện Nhà Bè,84,9,6,2.96
Chung cư,Huyện Nhà Bè,241,3,4,4.05
Chung cư,Quận 7,52,4,4,1.41
Nhà hẻm,Quận 9 (TP. Thủ Đức),378,7,3,8.75
Biệt thự,Quận 5,308,3,4,120.32
Chung cư,Huyện Củ Chi,491,4,3,1.12
Nhà mặt tiền,Huyện Củ Chi,357,1,6,1.86
Nhà hẻm,Quận 11,137,7,2,6.68
Chung cư,Huyện Nhà Bè,529,4,1,4.91
Chung cư,Huyện Nhà Bè,255,1,4,3.03
Biệt thự,Quận 9 (TP. Thủ Đức),437,2,6,36.4
Nhà mặt tiền,Huyện Bình Chánh,362,7,1,3.3
Chung cư,Quận 2 (TP. Thủ Đức),116,4,3,4.2
Nhà mặt tiền,Quận Bình Thạnh,297,1,5,23.31
Biệt thự,Quận 9 (TP. Thủ Đức),283,7,6,34.79
Nhà mặt tiền,Quận 6,57,7,3,4.65
Chung cư,Huyện Nhà Bè,336,2,1,2.7
Biệt thự,Huyện Bình Chánh,415,6,1,8.39
Biệt thự,Quận 10,486,7,1,102.74
Chung cư,Quận 9 (TP. Thủ Đức),342,9,4,7.32
Nhà hẻm,Quận Bình Tân,45,6,2,1.27
Biệt thự,Quận 4,275,4,6,28.82
Chung cư,Quận Bình Thạnh,313,6,6,17.6
Chung cư,Quận 12,318,7,1,3.27
Nhà hẻm,Huyện Nhà Bè,459,7,2,8.82
Nhà mặt tiền,Huyện Hóc Môn,84,4,1,0.95
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),208,1,3,14.92
Biệt thự,Quận 6,51,5,4,9.2
Nhà mặt tiền,Quận Gò Vấp,53,3,4,4.03
Nhà mặt tiền,Huyện Cần Giờ,53,3,4,0.77
Nhà hẻm,Quận 1,469,3,2,56.71
Biệt thự,Quận 2 (TP. Thủ Đức),70,3,4,13.9
Biệt thự,Quận 8,426,9,6,75.08
Nhà mặt tiền,Quận Bình Tân,390,1,1,8.79
Chung cư,Quận Phú Nhuận,219,8,6,16.7
Nhà mặt tiền,Quận 1,410,5,2,107.56
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),102,7,1,7.63
Chung cư,Huyện Nhà Bè,420,7,1,4.98
Nhà mặt tiền,Huyện Củ Chi,86,1,2,0.29
Biệt thự,Huyện Cần Giờ,162,6,6,6.47
Chung cư,Quận 5,267,1,4,14.41
Biệt thự,Quận 4,322,6,6,35.96
Chung cư,Huyện Cần Giờ,419,2,4,1.98
Nhà mặt tiền,Huyện Bình Chánh,369,3,4,5.5
Biệt thự,Quận Bình Tân,319,4,4,38.57
Nhà mặt tiền,Quận Bình Thạnh,23,7,6,3.44
Chung cư,Quận 10,18,8,5,1.61
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),30,1,4,1.19
Biệt thự,Quận 5,46,2,2,12.82
Nhà hẻm,Quận Bình Tân,132,7,6,5.81
Nhà mặt tiền,Quận 5,153,3,6,32.91
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),357,2,5,9.33
Biệt thự,Huyện Cần Giờ,384,5,4,11.62
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),418,7,3,19.57
Chung cư,Huyện Bình Chánh,191,7,5,1.42
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),474,8,3,14.85
Nhà hẻm,Quận Phú Nhuận,86,4,4,6.1
Biệt thự,Quận 8,501,2,3,48.34
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),418,4,2,20.44
Nhà mặt tiền,Quận Phú Nhuận,79,8,1,7.08
Biệt thự,Quận 4,40,5,4,3.65
Chung cư,Quận 5,62,3,1,2.61
Nhà mặt tiền,Quận Bình Thạnh,99,9,4,12.89
Chung cư,Quận 7,379,5,2,8.12
Nhà mặt tiền,Huyện Củ Chi,153,5,2,0.86
Biệt thự,Quận 6,140,8,6,34.11
Chung cư,Quận Tân Phú,301,4,6,10.75
Nhà mặt tiền,Quận 10,291,3,5,54.51
Biệt thự,Quận Tân Phú,78,3,1,6.13
Nhà mặt tiền,Quận 1,109,9,5,45.4
Biệt thự,Quận 8,511,6,6,87.98
Nhà mặt tiền,Quận Tân Bình,359,6,4,47.11
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),481,1,5,20.64
Nhà mặt tiền,Huyện Hóc Môn,160,7,1,1.93
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),197,8,4,24.8
Chung cư,Huyện Bình Chánh,57,8,4,0.41
Biệt thự,Quận 9 (TP. Thủ Đức),322,7,2,27.48
Biệt thự,Quận Gò Vấp,448,7,1,42.23
Nhà mặt tiền,Quận 8,34,2,2,1.54
Nhà mặt tiền,Quận 1,463,5,2,133.64
Biệt thự,Quận 11,199,9,3,47.31
Chung cư,Quận 12,381,8,1,4.12
Chung cư,Quận 4,306,4,4,5.29
Nhà hẻm,Quận 12,93,1,3,1.34
Biệt thự,Quận Gò Vấp,391,2,1,27.87
Nhà mặt tiền,Quận Bình Tân,312,7,6,28.61
Nhà hẻm,Huyện Củ Chi,205,7,6,0.89
Biệt thự,Huyện Bình Chánh,167,3,2,3.7
Nhà mặt tiền,Quận 1,439,5,4,145.18
Biệt thự,Quận 3,81,7,3,37.42
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),180,5,4,10.22
Biệt thự,Quận Thủ Đức (TP. Thủ Đức),24,9,1,1.68
Nhà hẻm,Quận Bình Thạnh,253,8,5,18.04
Nhà mặt tiền,Quận 11,118,7,1,8.81
Nhà hẻm,Huyện Hóc Môn,17,4,5,0.19
Nhà mặt tiền,Huyện Bình Chánh,221,2,2,2.36
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),13,2,2,0.83
Nhà mặt tiền,Quận Tân Bình,32,6,3,3.81
Nhà mặt tiền,Quận Phú Nhuận,160,3,1,11.25
Biệt thự,Huyện Hóc Môn,352,4,2,11.35
Nhà hẻm,Quận Bình Thạnh,319,4,5,18.61
Biệt thự,Quận Tân Bình,210,1,1,17.47
Chung cư,Quận Bình Tân,143,5,4,3.34
Chung cư,Huyện Bình Chánh,200,2,2,0.83
Nhà hẻm,Quận Gò Vấp,321,2,6,11.87
Nhà hẻm,Quận 9 (TP. Thủ Đức),269,6,4,6.93
Chung cư,Quận 12,433,9,4,9.69
Chung cư,Quận 4,372,7,1,3.64
Nhà mặt tiền,Huyện Củ Chi,414,8,1,1.75
Nhà mặt tiền,Quận Gò Vấp,112,8,2,8.36
Biệt thự,Quận Phú Nhuận,123,2,6,31
Nhà mặt tiền,Quận Gò Vấp,321,9,3,30.29
Biệt thự,Quận 12,411,3,4,35.27
Biệt thự,Quận 4,316,2,3,22.75
Biệt thự,Quận Bình Tân,256,4,1,17.72
Nhà mặt tiền,Quận Bình Tân,451,8,5,40.71
Nhà mặt tiền,Quận 7,394,2,6,26.27
Biệt thự,Huyện Hóc Môn,505,1,6,17.33
Chung cư,Quận 3,410,4,6,40.7
Nhà mặt tiền,Quận 4,426,2,4,16.13
Nhà hẻm,Quận 11,71,5,6,5
Nhà mặt tiền,Quận 1,256,8,1,53.13
Nhà mặt tiền,Quận 10,532,8,6,139.92
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),429,6,2,17.12
Nhà mặt tiền,Quận 6,412,1,2,17.18
Biệt thự,Huyện Cần Giờ,490,9,3,16.18
Biệt thự,Huyện Hóc Môn,204,3,4,7.8
Nhà mặt tiền,Quận 4,516,1,2,11.59
Chung cư,Quận 8,355,4,5,10.09
Nhà mặt tiền,Huyện Củ Chi,465,6,6,3.74
Nhà mặt tiền,Quận Tân Phú,167,3,4,11.5
Biệt thự,Quận Tân Bình,133,1,5,21.61
Nhà hẻm,Quận Tân Bình,175,2,5,9.09
Nhà mặt tiền,Quận 11,360,7,6,52.62
Biệt thự,Quận 9 (TP. Thủ Đức),385,8,5,47.9
Chung cư,Huyện Hóc Môn,404,9,4,3.95
Nhà mặt tiền,Quận Gò Vấp,129,5,3,10.45
Nhà hẻm,Huyện Hóc Môn,441,4,1,2.54
Biệt thự,Quận 12,195,1,2,8.98
Biệt thự,Huyện Bình Chánh,502,8,5,21.48
Chung cư,Quận Bình Thạnh,22,6,6,1.18
Nhà mặt tiền,Huyện Bình Chánh,10,4,5,0.18
Nhà mặt tiền,Huyện Bình Chánh,309,3,4,5
Chung cư,Quận 11,121,3,1,2.63
Nhà hẻm,Quận 3,130,5,1,8.01
Chung cư,Quận 9 (TP. Thủ Đức),188,8,2,2.79
Nhà mặt tiền,Quận 7,181,6,6,18.67
Nhà mặt tiền,Huyện Củ Chi,304,2,2,1.34
Chung cư,Huyện Nhà Bè,391,8,5,9.16
Nhà mặt tiền,Quận 11,157,9,4,22.8
Nhà hẻm,Quận Tân Bình,235,5,3,12.91
Nhà hẻm,Quận Bình Tân,508,9,2,14.88
Nhà hẻm,Quận 3,55,2,4,4.93
Chung cư,Quận Thủ Đức (TP. Thủ Đức),481,2,4,8.56
Chung cư,Quận 3,65,4,5,5.57
Chung cư,Quận Phú Nhuận,340,9,3,22.02
Nhà hẻm,Huyện Cần Giờ,226,3,2,1.21
Biệt thự,Quận 2 (TP. Thủ Đức),438,7,5,114.54
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),471,2,6,24.06
Nhà mặt tiền,Quận Gò Vấp,41,7,6,4.79
Nhà mặt tiền,Huyện Nhà Bè,519,5,6,28.86
Chung cư,Quận 3,276,3,3,18.96
Nhà mặt tiền,Quận Gò Vấp,18,4,2,1.17
Chung cư,Quận 5,537,2,3,33.84
Nhà mặt tiền,Quận 7,76,7,6,7.41
Nhà hẻm,Quận Gò Vấp,66,4,2,2.23
Nhà mặt tiền,Quận 5,382,6,3,79.18
Nhà mặt tiền,Quận Tân Bình,181,8,3,21.31
Biệt thự,Quận Bình Thạnh,240,2,2,34.72
Nhà hẻm,Quận Bình Tân,425,7,5,16.37
Chung cư,Quận 5,458,1,2,19.04
Nhà hẻm,Quận Tân Bình,170,2,3,7.95
Chung cư,Quận 8,476,6,4,14.19
Chung cư,Quận 2 (TP. Thủ Đức),195,8,5,10.32
Nhà mặt tiền,Quận 11,280,3,3,27.12
Nhà hẻm,Quận Phú Nhuận,186,4,5,14.32
Biệt thự,Quận Gò Vấp,268,2,3,34.16
Nhà mặt tiền,Quận 1,177,3,4,57.25
Nhà hẻm,Quận 6,47,5,6,2.41
Nhà mặt tiền,Quận 6,100,7,2,7.3
Nhà hẻm,Quận 6,87,1,4,2.53
Biệt thự,Quận Phú Nhuận,22,5,1,3.53
Chung cư,Huyện Hóc Môn,347,9,1,1.87
Nhà hẻm,Quận Tân Bình,144,8,6,10.82
Biệt thự,Quận Phú Nhuận,412,6,2,102.49
Biệt thự,Quận 8,508,4,2,53.28
Nhà hẻm,Quận Bình Thạnh,335,2,2,11.66
Nhà hẻm,Quận Gò Vấp,23,3,4,0.89
Nhà mặt tiền,Quận 8,228,3,6,16.54
Nhà hẻm,Quận 10,494,5,5,53.03
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),101,5,2,2.46
Biệt thự,Quận Phú Nhuận,91,6,4,27.08
Chung cư,Huyện Củ Chi,167,6,6,0.52
Chung cư,Quận 10,126,3,2,6.35
Nhà hẻm,Quận 5,366,4,1,21.3
Nhà hẻm,Quận 4,351,2,1,3.43
Biệt thự,Huyện Cần Giờ,317,9,3,9.42
Chung cư,Quận 3,408,4,5,37.84
Biệt thự,Quận Bình Thạnh,100,3,1,11.2
Nhà hẻm,Quận 2 (TP. Thủ Đức),452,7,3,23.93
Chung cư,Quận 3,375,9,6,39.59
Nhà hẻm,Huyện Cần Giờ,383,8,4,3.07
Biệt thự,Quận 9 (TP. Thủ Đức),346,4,4,31.48
Chung cư,Quận Bình Tân,390,8,1,5.99
Nhà mặt tiền,Quận Gò Vấp,140,4,4,10.99
Nhà hẻm,Quận 2 (TP. Thủ Đức),90,2,4,4.01
Nhà hẻm,Huyện Bình Chánh,153,5,1,0.7
Nhà mặt tiền,Quận 10,301,8,1,35.93
Nhà hẻm,Quận 10,429,4,3,39.63
Chung cư,Huyện Nhà Bè,276,3,4,5.05
Chung cư,Quận 2 (TP. Thủ Đức),128,9,5,6.19
Chung cư,Quận 6,193,9,2,5.81
Nhà hẻm,Quận 3,72,7,4,8.04
Biệt thự,Quận Gò Vấp,101,9,5,21.8
Nhà hẻm,Quận Bình Tân,266,6,4,9.71
Nhà hẻm,Quận 10,511,1,4,33.4
Nhà hẻm,Quận Gò Vấp,480,1,4,13.93
Biệt thự,Quận 8,322,7,6,60.73
Biệt thự,Quận 7,266,7,5,52.95
Nhà mặt tiền,Quận Gò Vấp,353,7,4,32.75
Chung cư,Quận 12,442,1,5,5.52
Biệt thự,Huyện Bình Chánh,192,5,4,6.1
Nhà hẻm,Quận 6,122,6,1,3.07
Biệt thự,Huyện Củ Chi,247,7,3,3.4
Nhà mặt tiền,Quận Tân Bình,260,5,4,30.81
Nhà hẻm,Quận Bình Thạnh,349,5,1,10.54
Biệt thự,Quận 6,257,6,5,50.85
Nhà hẻm,Quận Phú Nhuận,377,5,3,25.46
Nhà mặt tiền,Quận 7,252,3,6,21.26
Nhà mặt tiền,Quận Gò Vấp,171,1,6,11.25
Nhà hẻm,Quận 11,253,6,3,14.85
Biệt thự,Quận 7,295,6,3,43.22
Nhà mặt tiền,Huyện Nhà Bè,282,5,2,10.87
Nhà hẻm,Quận 8,533,6,5,21.47
Nhà mặt tiền,Quận Phú Nhuận,37,3,6,6.07
Chung cư,Huyện Củ Chi,376,6,2,0.82
Nhà hẻm,Quận Bình Tân,494,8,5,20.32
Nhà hẻm,Quận Tân Phú,501,2,3,16.07
Biệt thự,Quận 7,298,4,6,50.56
Biệt thự,Huyện Hóc Môn,474,4,2,16.31
Nhà hẻm,Quận 4,457,3,5,10.95
Nhà hẻm,Huyện Bình Chánh,82,4,4,0.64
Chung cư,Huyện Bình Chánh,165,6,4,1.07
Biệt thự,Quận Tân Bình,107,6,1,15.58
Chung cư,Quận 7,423,4,5,13.99
Biệt thự,Quận 11,296,2,5,63.22
Biệt thự,Quận 10,523,8,6,259.19
Chung cư,Quận 10,416,6,5,33.31
