Loại nhà,Vị trí,Diện tích,Số phòng ngủ,Số tầng,Giá,,,,Số phòng tắm,Trình trạng pháp lý,Nội thất,,Address,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
Nhà hẻm,Quận Tân Phú,58,3,2,4.5,,,,2,Have certificate,Full,,"Hẻm 74, Đường Tân Kỳ Tân Quý, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",42,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,51.3,3,3,3.68,,,,3,Have certificate,Full,,"Đường Quốc lộ 1A, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",4,60,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 7,64.8,3,3,6.2,,,,3,Have certificate,Basic,,"Đường Số 77, Phường Tân Quy, Quận 7, Hồ Chí Minh",3.6,2.5,Nam,Nam
Nhà hẻm,Quận Tân Bình,59,6,5,9.2,,,,6,Have certificate,Full,,"Hẻm 730, Đường Lạc Long Quân, Phường 9, Quận Tân Bình, Hồ Chí Minh",8,8,Tây,Tây
Chung cư,Quận 12,21.7,2,2,1.78,,,,2,Have certificate,Basic,,"Đường An Phú Đông 25, Phường An Phú Đông, Quận 12, Hồ Chí Minh",3.1,4,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),86.4,1,1,7.4,,,,1,Have certificate,Basic,,"Đường 10, Phường Phước Bình, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4,14,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Thạnh,60,4,3,9.9,,,,4,Have certificate,Basic,,"138, Phố Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh",8,10,Đông,Đông
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),65,2,2,3.99,,,,2,Have certificate,Full,,"Đường Quang Trung, Phường Tăng Nhơn Phú B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",4.5,2.5,Tây - Nam,Tây - Nam
Chung cư,Quận 10,31,4,3,6.8,,,,3,Have certificate,Full,,"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",6.2,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 12,78,2,2,5,,,,3,Have certificate,Full,,"Đường Thạnh Lộc 29, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",5,6,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),61,4,4,6.1,,,,4,Have certificate,Full,,"Đường Số 10, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4.2,6,Tây - Nam,Tây - Nam
Chung cư,Quận 12,35,3,3,2.48,,,,3,Have certificate,Basic,,"Đường Hiệp Thành 26, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",3.5,4,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận 12,67,1,1,3.75,,,,1,Have certificate,Basic,,"Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",4,5,Bắc,Bắc
Nhà hẻm,Quận Bình Thạnh,60,4,5,9.1,,,,4,Have certificate,Full,,"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",7,5,Đông,Đông
Nhà mặt tiền,Quận 12,66,2,2,4.15,,,,2,Have certificate,Basic,,"Đường Thạnh Xuân 21, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,6,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,60,2,2,3.85,,,,2,Have certificate,Full,,"Đường Thạnh Lộc 37, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",5,5,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Gò Vấp,54,3,4,6.35,,,,4,Have certificate,Full,,"Đường Đỗ Thúc Tịnh, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,3,Tây - Nam,Tây - Nam
Chung cư,Quận 3,14,3,3,4.6,,,,3,Have certificate,Full,,"Đường Nguyễn Phúc Nguyên, Phường 10, Quận 3, Hồ Chí Minh",3.5,15,Đông - Bắc,Đông - Bắc
Chung cư,Quận Gò Vấp,32,3,3,5.75,,,,3,Have certificate,Full,,"Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Hồ Chí Minh",4,3,Nam,Nam
Biệt thự,Huyện Hóc Môn,113,4,2,5.9,,,,2,Have certificate,Full,,"Đường Nguyễn Ảnh Thủ, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh",5,6,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),99.8,4,3,7.8,,,,4,Have certificate,Full,,"Đường Linh Đông, Phường Linh Đông, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",5,7,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Tân Bình,63,5,4,8.2,,,,7,Have certificate,Full,,"Đường Trần Thánh Tông, Phường 15, Quận Tân Bình, Hồ Chí Minh",4.2,5,Đông - Nam,Đông - Nam
Nhà mặt tiền,Huyện Hóc Môn,74,3,3,4.8,,,,3,Have certificate,Full,,"Đường 8, Xã Tân Thới Nhì, Huyện Hóc Môn, Hồ Chí Minh",8,6,Đông - Bắc,Đông - Bắc
Biệt thự,Huyện Bình Chánh,189,3,2,10,,,,2,Have certificate,Basic,,"Dự án Vĩnh Lộc A, Đường Hương lộ  80, Xã Vĩnh Lộc A, Huyện Bình Chánh, Hồ Chí Minh",9,14,Đông,Đông
Biệt thự,Quận 8,151,2,2,5.2,,,,3,Have certificate,Basic,,"Green River quận 8, 2225, Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",7.5,12,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Phú Nhuận,85.4,6,3,9.4,,,,7,Have certificate,Basic,,"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Hồ Chí Minh",4.9,5,Đông - Nam,Đông - Nam
Chung cư,Quận Gò Vấp,36,4,4,5.85,,,,3,Have certificate,Full,,"Đường Số 14, Phường 8, Quận Gò Vấp, Hồ Chí Minh",6,5,Đông - Nam,Đông - Nam
Nhà hẻm,Huyện Nhà Bè,52,4,4,6.5,,,,3,Have certificate,Full,,"Hẻm 2177, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",5,7,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Bình Tân,40,2,2,3.6,,,,2,Have certificate,Full,,"6/27, Đường 14A, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,5,Bắc,Bắc
Nhà hẻm,Quận Gò Vấp,55,4,4,6.3,,,,4,Have certificate,Basic,,"Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,50.1,4,4,7,,,,5,Have certificate,Basic,,"Đường Song Hành, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh",4.02,20,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 12,51,3,3,5.2,,,,4,Have certificate,Full,,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",5.2,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Bình Thạnh,47.1,3,2,5.4,,,,2,Have certificate,Basic,,"Hẻm 602/97, Đường Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Hồ Chí Minh",4.3,2,Tây,Đông
Nhà hẻm,Quận 7,47.95,5,5,7.7,,,,5,Have certificate,Full,,"791, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",4,4,Nam,Nam
Nhà hẻm,Quận 12,60,1,1,2.85,,,,1,Have certificate,Full,,"Đường Thạnh Xuân 43, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,3,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 12,57,2,2,3.8,,,,2,Have certificate,Basic,,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",5,7,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,56,2,2,4.2,,,,2,Have certificate,Full,,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",4,3,Đông,Tây
Nhà hẻm,Quận Bình Thạnh,52,3,2,7.9,,,,3,Have certificate,Full,,"31/35/15, Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Hồ Chí Minh",5,12,Đông - Nam,Đông - Nam
Biệt thự,Quận 7,102,2,1,6.8,,,,2,Have certificate,Basic,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",6,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận 12,64,3,2,3.86,,,,2,Have certificate,Full,,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,4,Tây - Nam,Tây - Nam
Nhà hẻm,Quận 12,48,2,2,3.3,,,,2,Have certificate,Full,,"Đường Tân Thới Nhất 6, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",3,3,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),60,2,2,3.6,,,,2,Have certificate,Basic,,"Đường Số 10, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6,2,Nam,Nam
Chung cư,Quận 6,32,2,2,8.6,,,,2,Have certificate,Basic,,"Đường Lê Quang Sung, Phường 2, Quận 6, Hồ Chí Minh",3.2,12,Bắc,Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,3,8,,,,4,Have certificate,Full,,"Dự án River Park, Đường Liên Phường, Phường Phước Long B, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Bình Tân,63,3,2,2.9,,,,2,Have certificate,Full,,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh",5.2,6,Đông,Đông
Nhà mặt tiền,Quận 12,67,4,2,4,,,,2,Have certificate,Basic,,"Đường Trần Thị Cờ, Phường Thới An, Quận 12, Hồ Chí Minh",5,3.5,Tây,Tây
Nhà mặt tiền,Quận 12,74,4,3,6.05,,,,4,Have certificate,Full,,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",4,10,Bắc,Tây - Bắc
Biệt thự,Huyện Bình Chánh,100,4,4,10,,,,5,Have certificate,Full,,"Dự án 6B Intresco, Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh",5,12,Tây - Bắc,Tây - Bắc
Nhà hẻm,Huyện Nhà Bè,60,4,4,6.4,,,,5,Have certificate,Full,,"Đường Đào Tông Nguyên, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",5,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),83,3,3,4.3,,,,3,Have certificate,Basic,,"Đường Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Tây - Nam,Tây - Nam
Chung cư,Quận 3,30,1,2,5.6,,,,2,Have certificate,Full,,"11A, Đường Nguyễn Hiền, Phường 4, Quận 3, Hồ Chí Minh",3.7,6,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Bình Tân,74,3,3,6.3,,,,4,Have certificate,Full,,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",8,8,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Quận Gò Vấp,68,3,3,7.6,,,,3,Have certificate,Basic,,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh",5.3,8,Đông - Nam,Đông - Nam
Chung cư,Quận Bình Tân,35,2,1,2,,,,2,Have certificate,Full,,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh",4,4,Đông,Đông
Nhà mặt tiền,Quận Bình Tân,80,5,5,8.7,,,,7,Have certificate,Full,,"Số 1E, Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",4,12,Bắc,Bắc
Biệt thự,Quận 12,141,4,1,6.3,,,,3,Have certificate,Basic,,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",9,3.5,Đông - Bắc,Đông - Bắc
Chung cư,Quận Bình Thạnh,18.3,1,2,2.89,,,,2,Have certificate,Basic,,"Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",4.9,3,Nam,Nam
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),82.7,4,3,8.6,,,,5,Have certificate,Basic,,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,12,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Huyện Bình Chánh,75,3,2,2.25,,,,2,Have certificate,Full,,"Đường 1, Xã Huyện Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",5,8,Đông - Nam,Đông - Nam
Chung cư,Quận 1,28,2,3,6.5,,,,3,Have certificate,Basic,,"Hẻm 124, Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",4.6,2,Tây - Nam,Tây - Bắc
Nhà hẻm,Quận 12,40,2,2,2.45,,,,1,Have certificate,Full,,"Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",4,6,Đông - Nam,Đông - Nam
Chung cư,Quận 6,30.4,5,3,6.2,,,,3,Have certificate,Full,,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Hồ Chí Minh",3.5,12,Nam,Nam
Nhà mặt tiền,Quận 7,77,3,3,10,,,,4,Have certificate,Full,,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh.",4.06,6,Đông,Đông
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),75,4,2,8.3,,,,4,Have certificate,Basic,,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",5,20,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 7,90,4,4,8.29,,,,5,Have certificate,Full,,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",5,6,Đông - Bắc,Tây - Nam
Biệt thự,Quận Tân Phú,124.5,4,2,7.5,,,,3,Have certificate,Basic,,"Dự án Carillon 7, Quận Tân Phú, Hồ Chí Minh",9,30,Nam,Nam
Biệt thự,Quận 9 (TP. Thủ Đức),108,5,3,9.6,,,,4,Have certificate,Full,,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",6,12,Bắc,Bắc
Nhà hẻm,Quận 8,48,4,2,4.8,,,,3,Have certificate,Full,,"Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",3.5,5,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Huyện Nhà Bè,83.6,4,4,8.6,,,,5,Have certificate,Full,,"2581, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",5,6,Tây - Nam,Tây - Nam
Chung cư,Quận Bình Thạnh,28,4,4,4.25,,,,3,Have certificate,Full,,"Đường Trần Bình Trọng, Phường 5, Quận Bình Thạnh, Hồ Chí Minh",3.8,3,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Gò Vấp,66,2,2,6.15,,,,2,Have certificate,Full,,"Đường Quang Trung, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 2 (TP. Thủ Đức),71,4,5,6.3,,,,4,Have certificate,Basic,,"Đường Số 15, Phường Bình Trưng Đông, Quận 2 (TP. Thủ Đức), Hồ Chí Minh",45,6,Nam,Nam
Chung cư,Quận Bình Tân,36,3,3,2.35,,,,3,Have certificate,Basic,,"Đường Lê Đình Cẩn, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",5,5,Tây,Tây
Nhà mặt tiền,Quận Tân Phú,70,3,3,7.35,,,,3,Have certificate,Basic,,"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",4.2,6,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Huyện Nhà Bè,80,4,4,6.5,,,,5,Have certificate,Full,,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh",7,7,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Gò Vấp,48,5,4,5.5,,,,4,Have certificate,Basic,,"405/, Đường Thống Nhất, Phường 11, Quận Gò Vấp, Hồ Chí Minh",5,5,Tây,Tây
Chung cư,Quận Bình Tân,35,2,2,2,,,,2,Have certificate,Full,,"Đường Nguyễn Văn Cự, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh",4,4,Tây,Tây
Chung cư,Quận Gò Vấp,36,3,3,5.99,,,,3,Have certificate,Full,,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Hồ Chí Minh",8.3,5,Tây,Tây
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),50,4,3,3.16,,,,3,Have certificate,Basic,,"78C/16, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",3.47,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận Gò Vấp,56,4,4,8.95,,,,5,Have certificate,Full,,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh",6,7,Tây,Bắc
Biệt thự,Quận 7,108,2,1,5.5,,,,2,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",7,3,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 7,50,4,5,6.6,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",4.1,5,Đông - Nam,Đông - Nam
Nhà hẻm,Quận 12,40,2,2,3.68,,,,2,Have certificate,Full,,"Đường Thới An 09, Phường Thới An, Quận 12, Hồ Chí Minh",4,7,Tây - Bắc,Tây - Bắc
Chung cư,Quận Bình Thạnh,26.4,2,3,4.3,,,,2,Have certificate,Full,,"Hẻm 148, Nguyễn Lâm, Phường 3, Quận Bình Thạnh, Hồ Chí Minh",3.3,4,Đông,Đông
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),91.3,2,2,9,,,,2,Have certificate,Full,,"Đường 17, Phường Linh Chiểu, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",6,6,Đông - Bắc,Đông - Bắc
Nhà hẻm,Huyện Nhà Bè,52.8,3,2,3.79,,,,3,Have certificate,Full,,"1716, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",3.5,3.5,Đông,Đông
Nhà mặt tiền,Quận 7,75.5,5,5,8.8,,,,7,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Phường Quận Tân Phú, Quận 7, Hồ Chí Minh",3.6,5,Nam,Nam
Nhà hẻm,Quận Gò Vấp,60,4,3,7.2,,,,4,Have certificate,Basic,,"Đường Thống Nhất, Phường 16, Quận Gò Vấp, Hồ Chí Minh",4,5.5,Đông,Đông
Nhà hẻm,Quận Tân Phú,42.9,2,2,3.65,,,,2,Have certificate,Full,,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",3.3,5,Nam,Nam
Nhà mặt tiền,Quận 8,95,4,3,8.25,,,,5,Have certificate,Basic,,"Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh",10,10,Đông - Bắc,Đông - Bắc
Nhà mặt tiền,Huyện Nhà Bè,70,3,2,4.45,,,,3,Have certificate,Basic,,"Hẻm 2506, Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",5,3,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 8,60.75,2,2,2.55,,,,1,Sale contract,Full,,"Dream Home Palace, 1436, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",3.7,20,Tây - Bắc,Tây - Bắc
Chung cư,Quận 10,20.8,2,3,3.3,,,,3,Have certificate,Full,,"Hẻm 160/, Đường Nguyễn Chí Thanh, Phường 3, Quận 10, Hồ Chí Minh",2.6,3,Nam,Nam
Biệt thự,Quận Tân Phú,102,4,3,9.3,,,,4,Have certificate,Basic,,"Đường D10, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",4.2,12,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận Gò Vấp,58,4,4,7.49,,,,6,Have certificate,Full,,"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Hồ Chí Minh",4,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Huyện Bình Chánh,75,2,1,1.41,,,,1,Sale contract,Basic,,"Đường Ngô Miễn Thiệu, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh",5,4,Bắc,Bắc
Nhà hẻm,Quận Bình Thạnh,49,2,2,5,,,,3,Have certificate,Full,,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh",3.3,3,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Bình Tân,60,5,5,6.1,,,,6,Have certificate,Full,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Tây,Tây
Nhà hẻm,Quận Tân Phú,54,2,2,5.65,,,,2,Have certificate,Full,,"76/10/24 Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh",3.8,4,Tây,Tây
Chung cư,Quận Gò Vấp,23,2,2,2.3,,,,1,Have certificate,Full,,"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",3.74,4,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận 9 (TP. Thủ Đức),90,4,3,8.5,,,,3,Have certificate,Full,,"Dự án Mega Village, Đường Vành Đai 2, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), Hồ Chí Minh",7.5,20,Đông - Bắc,Đông - Bắc
Chung cư,Quận 11,21,2,2,3.8,,,,2,Have certificate,Basic,,"Đường Lê Đại Hành, Phường 11, Quận 11, Hồ Chí Minh",5,8,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận Bình Tân,80,3,2,4.58,,,,2,Have certificate,Full,,"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh",51,3,Tây,Tây
Chung cư,Quận 10,29,5,5,6.2,,,,4,Have certificate,Full,,"Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh",3,4,Đông - Nam,Đông - Nam
Nhà mặt tiền,Quận 6,64.4,3,2,8.6,,,,2,Have certificate,Basic,,"Đường Mai Xuân Thưởng, Phường 6, Quận 6, Hồ Chí Minh",3.5,5,Bắc,Bắc
Nhà mặt tiền,Quận 7,64,4,3,7.5,,,,5,Have certificate,Full,,"44/41, Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",5,6,Tây - Bắc,Tây
Chung cư,Quận 1,22,2,2,4.5,,,,3,Have certificate,Basic,,"Đường Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Hồ Chí Minh",3,3,Đông - Bắc,Đông - Bắc
Chung cư,Quận Bình Thạnh,32,2,2,3.8,,,,2,Have certificate,Basic,,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",3.11,5,Tây - Nam,Tây - Nam
Chung cư,Quận 10,32,3,2,5.18,,,,3,Have certificate,Full,,"Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh",5,4,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Bình Tân,60,5,5,6,,,,6,Have certificate,Full,,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh",4,8,Tây,Tây
Nhà hẻm,Quận 7,41.2,3,2,6.35,,,,2,Have certificate,Full,,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",6,3,Tây - Bắc,Tây - Bắc
Nhà hẻm,Quận 12,53.4,4,4,4.69,,,,4,Have certificate,Full,,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",6,7,Nam,Nam
Nhà hẻm,Huyện Nhà Bè,50,4,3,5.5,,,,5,Have certificate,Full,,"Đường Huỳnh Tấn Phát, Thị trấn Huyện Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",4,6,Đông - Bắc,Đông - Bắc
Chung cư,Quận Tân Phú,37,2,2,3.6,,,,2,Have certificate,Full,,"Đường Phú Thọ Hòa, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh",4.1,2,Nam,Nam
Nhà mặt tiền,Quận 11,83.2,9,5,9.9,,,,9,Have certificate,Full,,"Đường Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh",4.4,6,Tây - Bắc,Tây - Bắc
Nhà mặt tiền,Quận Gò Vấp,78.2,2,2,5.65,,,,2,Have certificate,Full,,"Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh",4.6,4,Đông - Nam,Đông - Nam
Nhà hẻm,Quận Thủ Đức (TP. Thủ Đức),63,2,3,6.2,,,,2,Have certificate,Full,,"Đường 3, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,5,Đông - Bắc,Đông - Bắc
Nhà hẻm,Quận 8,40.4,2,3,6.2,,,,3,Have certificate,Full,,"Đường  Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",4,4,Đông - Nam,Đông - Nam
Nhà hẻm,Huyện Hóc Môn,48,2,2,3.95,,,,2,Have certificate,Full,,"Đường Nguyễn Thị Ngâu, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh",4,10,Tây - Nam,Tây - Nam
Nhà mặt tiền,Quận Thủ Đức (TP. Thủ Đức),64,4,3,7.6,,,,4,Have certificate,Full,,"Đường 8, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), Hồ Chí Minh",4,6,Tây - Nam,Tây - Nam
Biệt thự,Quận 12,110,4,1,5.45,,,,4,Have certificate,Full,,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",7,7,Nam,Nam
Nhà hẻm,Quận 12,47.6,4,3,4.49,,,,4,Have certificate,Full,,"2/, Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",4,7,Tây - Nam,Tây - Nam
Nhà hẻm,Quận Tân Phú,56,5,4,6.5,,,,4,Have certificate,Full,,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",4,5,Tây,Tây
Chung cư,Quận Tân Phú,16,2,2,2.4,,,,2,Have certificate,Full,,"Đường Độc Lập, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh",4,2.2,Đông,Đông
